REGIAO:;S
UF:;RS
ESTACAO:;PASSO FUNDO
CODIGO (WMO):;A839
LATITUDE:;-28,22666666
LONGITUDE:;-52,40361111
ALTITUDE:;680,67
DATA DE FUNDACAO:;27/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;934,3;934,3;934,3;0;21,9;21,8;21,9;21,9;21,8;21,8;100;100;100;262;3,1;1,8;
2026/01/01;0100 UTC;0;933,9;933,9;933,9;0;21,3;21,2;21,3;21,3;21,2;21,2;99;99;99;29;3,2;2,4;
2026/01/01;0200 UTC;0;934;934;934;0;21;20,8;21;21;20,8;20,8;99;99;99;29;3,9;3,3;
2026/01/01;0300 UTC;0;933,9;933,9;933,9;0;21,2;20,7;21,2;21,2;20,7;20,7;97;97;97;48;2,5;1,7;
2026/01/01;0400 UTC;0;932,7;932,7;932,7;0;20,9;20,3;20,9;20,9;20,3;20,3;97;97;97;232;3;2,2;
2026/01/01;0500 UTC;0;932,1;932,4;931,8;0;20,6;20,1;20,8;20,4;20,2;20,1;98;97;98;65;4;2,5;
2026/01/01;0600 UTC;0;931,8;932;931,7;0;20,3;20;20,4;20,1;20,1;19,8;99;98;98;23;4,1;3;
2026/01/01;0700 UTC;0;931,9;932;931,8;0;20,2;19,9;20,3;20;19,9;19,7;99;98;98;343;4,1;2,4;
2026/01/01;0800 UTC;0;931,9;932;931,9;0;20,2;20;20,3;20;20,1;19,9;99;98;99;340;4,2;2,7;
2026/01/01;0900 UTC;0;932,2;932,5;931,9;8,7;20,2;20;20,3;20,2;20,1;19,9;99;98;99;339;4;3;
2026/01/01;1000 UTC;0;932,6;932,9;932,5;180;20,4;20,1;20,7;20,3;20,2;20;99;97;98;303;2,1;1,1;
2026/01/01;1100 UTC;0;933,1;933,2;932,9;922;21,5;20,3;22;20,7;21,1;19,7;98;91;94;306;3,7;2,3;
2026/01/01;1200 UTC;0;933,1;933,2;932,9;875,8;22,2;20,8;22,9;21,8;21,2;20,4;96;89;93;304;4,3;2,5;
2026/01/01;1300 UTC;0;933;933;932,9;1018,1;23;21,1;23,8;22,7;21,9;20,7;94;87;91;265;3,1;1,7;
2026/01/01;1400 UTC;,2;932,7;932,9;932,6;2013,4;24,3;21,6;25,2;23,8;22,7;20,8;92;80;86;252;3,8;1,7;
2026/01/01;1500 UTC;,4;932,3;932,6;932,2;2766,4;24,8;22,1;26;23,7;23,3;21;93;78;86;207;5,2;2,9;
2026/01/01;1600 UTC;,4;932;932,3;931,7;3166,8;26,1;21,9;27,3;25,2;22,8;21,3;88;70;79;219;7,5;3,2;
2026/01/01;1700 UTC;1,2;931,5;931,8;931,2;2241,6;25,5;22,4;26,5;24,5;24,2;21,4;92;74;84;225;4,7;2,4;
2026/01/01;1800 UTC;0;930,7;931,2;930,5;2071,2;26,8;21,9;27,7;25,8;23,1;21,2;83;70;75;221;5,6;2,4;
2026/01/01;1900 UTC;0;930,4;930,6;930,1;1162,8;26,7;21,5;27,1;26,4;22,2;21;77;71;74;203;4,9;2,4;
2026/01/01;2000 UTC;0;;;;;;;;;;;;;;;;;
2026/01/01;2100 UTC;0;;;;;;;;;;;;;;;;;
2026/01/01;2200 UTC;0;;;;;;;;;;;;;;;;;
2026/01/01;2300 UTC;0;;;;;;;;;;;;;;;;;
2026/01/02;0000 UTC;0;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;0;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;0;;;;;;;;;;;;;;;;;
2026/01/02;0300 UTC;0;931,6;931,6;931,5;0;21,8;21,8;21,8;21,8;21,8;21,8;100;100;100;336;1,5;1,1;
2026/01/02;0400 UTC;0;931,3;931,5;931,1;0;21,8;21,9;21,9;21,6;22;21,6;100;100;100;284;1,7;1,1;
2026/01/02;0500 UTC;0;930,9;931,2;930,6;0;21,3;21,3;21,9;21;21,9;20,9;100;100;100;346;2;1,5;
2026/01/02;0600 UTC;0;930,5;930,6;930,4;0;20,8;20,9;21;20,7;21;20,8;100;100;100;244;1;,4;
2026/01/02;0700 UTC;0;930,4;930,6;930,3;0;20,8;20,8;20,9;20,7;20,9;20,7;100;100;100;167;1,7;,6;
2026/01/02;0800 UTC;0;930,2;930,5;930;0;20,6;20,6;20,9;20,1;20,9;20,2;100;100;100;35;3;1,8;
2026/01/02;0900 UTC;0;930,3;930,6;930;15;19,8;19,9;20,1;19,7;20,1;19,8;100;100;100;327;1,9;1,2;
2026/01/02;1000 UTC;0;930,9;931,2;930,6;362,3;19,8;19,8;20,1;19,7;20,1;19,7;100;99;100;298;2,6;1,8;
2026/01/02;1100 UTC;0;931,5;931,7;931,2;1001;20,5;20,2;21,3;20;20,8;19,8;100;97;99;337;5;3,5;
2026/01/02;1200 UTC;0;931,9;932,1;931,7;2200,8;21,9;20,7;23,1;21,1;21,2;20;97;86;94;311;3,8;2,4;
2026/01/02;1300 UTC;0;932;932,1;931,9;3036,4;24,5;20,3;26,1;23;21,5;18,5;91;66;79;287;5;2,5;
