REGIAO:;S
UF:;RS
ESTACAO:;BAGE - CENTRO
CODIGO (WMO):;B827
LATITUDE:;-31,30555555
LONGITUDE:;-54,01333333
ALTITUDE:;226,2
DATA DE FUNDACAO:;01/08/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;980,9;980,9;980,9;0;25,4;16,3;25,4;25,4;16,3;16,3;55;55;55;319;1;,8;
2026/01/01;0100 UTC;0;981,1;981,6;980,9;0;24,8;15,9;25,4;23,8;16,4;15;60;53;55;83;3,8;1,3;
2026/01/01;0200 UTC;0;981,5;981,7;981,3;0;23,3;14,5;23,9;22,9;15,5;13,4;60;51;56;191;1,8;1,2;
2026/01/01;0300 UTC;0;981,2;981,3;981;0;22,9;14,1;23,6;22,4;14,6;13,7;59;51;56;121;1,9;,7;
2026/01/01;0400 UTC;0;981;981,1;980,8;0;22,5;15,5;23,4;21,9;17,7;14,2;72;60;65;61;3;1,7;
2026/01/01;0500 UTC;0;980,5;980,8;980,2;0;22,6;18,5;23,3;22,3;19;17,7;83;72;79;267;2,5;1,2;
2026/01/01;0600 UTC;0;979,8;980,2;979,6;0;22;18,3;22,6;21,5;18,9;17,4;83;78;81;223;4,5;2;
2026/01/01;0700 UTC;0;979,3;979,5;979,2;0;21,9;17,2;22,1;21,7;17,5;16,9;78;75;76;326;4,4;2,6;
2026/01/01;0800 UTC;0;979,1;979,2;979,1;0;22,3;18,3;22,5;22,1;19,1;17,2;85;75;80;323;4,3;2,5;
2026/01/01;0900 UTC;0;979,5;980;979,1;12,7;22,2;19,3;22,5;22;19,6;19;86;84;86;297;3,4;1,2;
2026/01/01;1000 UTC;0;980,4;980,7;980;400,4;22,7;19,6;23,9;22,1;20,5;19,3;86;83;84;289;3,5;1,7;
2026/01/01;1100 UTC;0;980,7;980,8;980,6;1211;25,2;20,7;26,1;24;21;20,5;83;73;78;286;3,5;1,8;
2026/01/01;1200 UTC;0;980,6;980,7;980,4;2063,4;27,4;20,1;28,7;26,2;21,2;19,1;74;54;64;294;3,4;2,1;
2026/01/01;1300 UTC;0;980,7;980,8;980,5;2792,6;29,2;19,4;29,9;28,6;20,5;18,3;57;44;51;275;5;2,6;
2026/01/01;1400 UTC;0;980,5;980,7;980,4;3402,5;30,6;18,5;31;30;19,8;17,9;48;34;40;262;5,2;2,6;
2026/01/01;1500 UTC;0;980,2;980,5;979,9;3781,5;31,1;19,2;31,4;30,6;20,3;18,3;48;37;41;265;5,4;3;
2026/01/01;1600 UTC;0;979,5;979,9;979,1;3906,6;31,7;19,7;32,1;31,3;20,7;19;46;35;40;238;5,4;2,7;
2026/01/01;1700 UTC;0;978,9;979,2;978,6;3829,3;32,6;20,4;33,3;32;21,2;19,6;43;35;39;252;6,7;2,8;
2026/01/01;1800 UTC;0;978,4;978,7;978,1;3439,4;33,3;20,9;33,8;32,7;22;19,9;43;35;38;243;5,5;2,5;
2026/01/01;1900 UTC;0;977,6;978,1;977;2882;33,8;21,3;34,2;33,4;22,1;20,5;42;34;38;257;5,1;2,3;
2026/01/01;2000 UTC;0;976,4;977;976;2065,3;34,2;21,1;34,6;33,7;22;20,2;39;32;35;269;5,5;1,9;
2026/01/01;2100 UTC;0;976,3;976,5;976;1549,6;34,1;21,1;34,4;33,7;21,8;20,5;38;32;35;235;3,9;2,1;
2026/01/01;2200 UTC;,2;977,4;978,8;976,2;208,4;28,3;20,2;34,2;22;21,7;18,7;90;36;59;143;13,6;6,5;
2026/01/01;2300 UTC;1,4;978,7;979,6;978,2;98,7;21,9;19,8;22,4;21,5;20,4;19,3;91;86;89;100;7,6;3,3;
2026/01/02;0000 UTC;0;978,4;978,7;978,2;0;21,8;19,5;21,9;21,7;19,9;18,8;91;85;89;41;5,1;2,5;
2026/01/02;0100 UTC;0;979,2;979,8;978,8;0;22;18,1;22,2;21,6;18,9;17,6;85;78;81;189;3,4;1,9;
2026/01/02;0200 UTC;0;979,8;979,9;979,7;0;21,3;18,7;21,5;21,1;19;18,2;89;84;87;120;4,2;2,2;
2026/01/02;0300 UTC;,2;980;980,2;979,8;0;21;18,4;21,3;20,5;18,8;18;89;84;87;90;2,2;1;
2026/01/02;0400 UTC;0;979,7;980;979,4;0;20,6;18,8;20,7;20,3;19,1;18,3;93;89;91;47;2,5;,7;
2026/01/02;0500 UTC;0;979,2;979,5;979;0;20,1;18,9;20,3;19,8;19,1;18,7;96;93;94;70;1;,4;
2026/01/02;0600 UTC;0;978,6;978,9;978,6;0;19,6;18,8;19,8;19,4;18,9;18,6;97;95;96;114;2,3;1,5;
2026/01/02;0700 UTC;0;978,5;978,7;978,4;0;19,4;19;19,5;19,1;19,3;18,4;99;96;98;93;3,6;1,2;
2026/01/02;0800 UTC;0;978,5;978,7;978,4;0;19,2;19,1;19,5;18,8;19,4;18,8;100;99;100;32;2,9;1,9;
2026/01/02;0900 UTC;0;978,8;978,9;978,6;20,6;18,7;18,6;18,8;18,5;18,8;18,5;100;100;100;244;1;,3;
2026/01/02;1000 UTC;0;979;979,5;978,7;529;19,4;18,7;20,8;18,7;19;18,3;100;89;96;148;1,3;,6;
2026/01/02;1100 UTC;0;979,7;979,9;979,5;1259,2;22,1;19,1;23,6;20,7;19,8;18,5;91;79;85;93;1,9;1;
2026/01/02;1200 UTC;0;980;980,2;979,8;2083,5;24,7;20;25,5;23,4;20,8;19,3;83;70;77;223;3,3;1,3;
2026/01/02;1300 UTC;0;980,3;980,5;980,2;2838;25,6;20,1;26,1;25,2;21,3;18,6;80;63;73;197;3,5;1,9;
