REGIAO:;S
UF:;RS
ESTACAO:;TORRES-AEROPORTO
CODIGO (WMO):;B841
LATITUDE:;-29,41361111
LONGITUDE:;-49,80361111
ALTITUDE:;0
DATA DE FUNDACAO:;13/10/25
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,5;1009,1;1008;0;25,6;24;25,6;25,4;24,1;24;93;92;92;59;4,9;2,5;
2026/01/01;0100 UTC;0;1008,3;1008,3;1008,2;0;25,4;24,1;25,4;25,4;24,3;24;94;93;93;51;2,4;1,7;
2026/01/01;0200 UTC;0;1008,2;1008,4;1008,1;0;25,4;24,1;25,5;25,4;24,4;23,8;95;92;93;29;2,8;1,6;
2026/01/01;0300 UTC;0;1007,8;1008,1;1007,5;0;25,4;23,9;25,4;25,3;24;23,8;93;92;93;303;3,2;1,9;
2026/01/01;0400 UTC;0;1007,7;1008,1;1007,4;0;25,3;23,9;25,4;25,3;24;23,8;93;92;93;257;1,8;1;
2026/01/01;0500 UTC;0;1007;1007,4;1006,7;0;25,4;24;25,4;25,3;24,2;23,9;94;93;93;142;1,2;,6;
2026/01/01;0600 UTC;0;1006,4;1006,7;1006,2;0;25,3;24,2;25,4;25,3;24,3;24,1;95;94;94;308;2,6;1,3;
2026/01/01;0700 UTC;0;1005,9;1006,1;1005,7;0;25,2;24,1;25,3;24,9;24,1;24;96;94;95;306;1,3;1;
2026/01/01;0800 UTC;0;1005,7;1005,8;1005,6;0;24,9;24,2;25;24,7;24,2;24,1;97;96;96;275;1;,4;
2026/01/01;0900 UTC;0;1005,7;1005,7;1005,6;64,3;24,9;24,3;25;24,7;24,4;24;97;97;97;312;1,6;,6;
2026/01/01;1000 UTC;0;1006;1006,3;1005,7;564,4;25,6;24,4;26,1;25;24,7;24;97;90;94;295;2,4;1,5;
2026/01/01;1100 UTC;0;1006,2;1006,3;1006,1;1148,6;26,4;24,3;27,5;26;24,7;24;92;85;89;299;2,6;1,4;
2026/01/01;1200 UTC;0;1005,9;1006,2;1005,6;959;27,6;24,3;27,9;27,3;24,6;23,8;86;80;83;84;2,6;1,7;
2026/01/01;1300 UTC;0;1005,4;1005,7;1005,2;2699,1;28,9;24,1;29,4;27,8;24,7;23,2;84;71;76;120;4,3;3,2;
2026/01/01;1400 UTC;0;1005,2;1005,3;1005;3628,1;29,3;23,8;30;28,6;24,5;23,2;77;69;73;137;5,2;2,9;
2026/01/01;1500 UTC;0;1004,7;1005;1004,5;3592;29,4;23,9;30;28,8;24,5;23,2;77;69;72;118;5,2;3,3;
2026/01/01;1600 UTC;,8;1004,3;1004,6;1003,9;2214,5;28,2;25,2;29,3;27,2;26,6;24;93;74;85;97;5,4;3,4;
2026/01/01;1700 UTC;0;1004;1004,2;1003,8;1116,8;27,9;24,7;28,2;27,5;25,3;24,4;88;82;84;43;4,5;3,2;
2026/01/01;1800 UTC;1,2;1004,1;1004,5;1003,8;1063,6;27,6;24,9;28,5;26,8;25,4;24,2;90;81;86;67;2,9;2;
2026/01/01;1900 UTC;4,5;1003,7;1004;1003,6;1089,9;26,5;25,2;27,5;26;25,9;24,4;97;89;93;51;2,8;1,7;
2026/01/01;2000 UTC;0;1003,4;1003,6;1003;1661,1;28,4;24;29,1;27,4;24,9;23,1;86;73;78;134;3,2;2;
2026/01/01;2100 UTC;0;1002,9;1003,1;1002,8;1142,2;28,6;23,5;29,1;28,2;24;23,1;77;72;74;78;3,5;2;
2026/01/01;2200 UTC;0;1003,3;1003,7;1003;339,5;27,7;23,7;28,5;27,1;23,9;23,4;83;76;80;39;2,8;1,8;
2026/01/01;2300 UTC;0;1004;1004,2;1003,7;13,8;26,4;23,5;27;25,9;23,9;23,2;87;83;86;39;2,8;1,1;
2026/01/02;0000 UTC;0;1004,5;1004,8;1004,1;0;25,5;23,2;25,9;24,8;23,5;23;93;86;88;109;1,9;1,1;
2026/01/02;0100 UTC;0;1004,8;1005;1004,7;0;24,8;23,7;25,2;24,6;24;23,3;96;91;94;329;1,8;1,2;
2026/01/02;0200 UTC;0;1005;1005,1;1004,9;0;24,4;23,8;24,8;24;24,3;23,4;98;96;97;338;1,9;1,2;
2026/01/02;0300 UTC;0;1004,8;1005,1;1004,7;0;24,1;23,7;24,7;23,4;24,2;23;99;97;98;236;,8;,5;
2026/01/02;0400 UTC;0;1004,4;1004,6;1003,9;0;23,2;23;23,4;22,7;23,3;22,5;100;98;99;258;1,2;,6;
2026/01/02;0500 UTC;0;1004;1004,4;1003,6;0;22,7;22,6;23,1;22,2;23,2;22;100;99;100;176;1;,4;
2026/01/02;0600 UTC;0;1003,5;1003,6;1003,3;0;22,6;22,5;23;22,1;23;22;100;99;100;175;2,4;1,4;
2026/01/02;0700 UTC;0;1003,5;1003,7;1003,3;0;23,3;23,3;23,7;22,8;23,8;22,8;100;100;100;198;2,7;,9;
2026/01/02;0800 UTC;0;1003,6;1003,7;1003,4;0;23,2;23,2;23,7;22,8;23,7;22,7;100;100;100;230;2,4;,5;
2026/01/02;0900 UTC;0;1003,8;1004,2;1003,6;41;22,4;22,4;22,8;22;22,8;21,9;100;99;100;183;1,3;,4;
2026/01/02;1000 UTC;0;1004,5;1004,8;1004,2;583,8;23;22,6;24,1;22,3;23,3;22,2;100;95;98;226;1,7;,5;
2026/01/02;1100 UTC;0;1005;1005,2;1004,8;1491,4;25,4;21,8;26,2;24,1;23,2;20,8;95;75;82;233;3,5;1,7;
2026/01/02;1200 UTC;0;1005,1;1005,2;1005;2251,8;27,1;22,4;27,9;26;23,4;21,1;79;74;77;164;4,6;3,2;
2026/01/02;1300 UTC;0;1005,2;1005,3;1005;2963,5;28;22,8;28,9;27,4;23,6;22,3;79;70;74;157;6,5;4,3;
2026/01/02;1400 UTC;0;1005,1;1005,2;1004,9;3477,4;28,2;23,1;29,1;27,5;23,9;22,4;78;70;75;158;7,6;4,3;
2026/01/02;1500 UTC;0;1004,4;1004,9;1004,1;3819,9;28,6;23,8;29,1;27,9;24,4;23,2;80;72;76;149;7,4;4,9;
2026/01/02;1600 UTC;0;1004,1;1004,3;1003,8;3935,7;28,5;24,1;29;28;24,6;23,5;81;75;78;140;7,6;4,9;
2026/01/02;1700 UTC;0;1003,9;1004,1;1003,7;3816,1;28,2;23,7;28,8;27,6;24,5;23,1;81;74;77;120;6,4;4,5;
2026/01/02;1800 UTC;0;1003,6;1004;1003,4;3235,8;28;23,2;28,7;27,5;24,1;22,7;80;72;76;80;4,7;3;
2026/01/02;1900 UTC;0;1002,9;1003,5;1002,3;2287,6;27,6;22,7;28,7;27;23,3;22,3;80;71;76;89;4;2,3;
2026/01/02;2000 UTC;0;1002,2;1002,4;1002,1;1741,9;27,7;22,7;28,5;27,2;23,1;22,4;77;72;75;76;4,8;3,1;
2026/01/02;2100 UTC;0;1002,1;1002,3;1002;1170,1;27,5;22,7;27,9;27;23;22,5;79;73;76;81;4,6;2,9;
2026/01/02;2200 UTC;0;1002,6;1002,9;1002,2;227,5;26,1;22,7;26,8;25,7;22,8;22,3;85;78;83;128;4,9;3,4;
2026/01/02;2300 UTC;0;1002,9;1003,2;1002,5;11,5;25,4;22,6;25,7;25,2;22,7;22,5;87;85;86;118;3,3;2,1;
2026/01/03;0000 UTC;0;1003,2;1003,3;1003,1;0;25,4;22,2;25,4;25,3;22,5;21,9;86;83;84;74;3,1;2,1;
2026/01/03;0100 UTC;0;1003,7;1003,9;1003,3;0;25,3;22,3;25,4;25,3;22,5;22;86;83;85;50;2,3;1,5;
2026/01/03;0200 UTC;0;1003,9;1004;1003,8;0;25,2;22,4;25,4;25;22,6;22,2;88;85;86;178;2,3;1,5;
2026/01/03;0300 UTC;0;1003,6;1003,8;1003,3;0;24,8;22,7;25,1;24,3;22,8;22,6;92;87;89;134;1,8;1,2;
2026/01/03;0400 UTC;0;1002,7;1003,3;1001,9;0;24,3;23;24,4;24,2;23,3;22,8;95;92;93;338;5,5;4;
2026/01/03;0500 UTC;0;1001,9;1002,1;1001,6;0;24,1;22,7;24,3;24;22,9;22,6;94;92;93;234;4,7;2,8;
2026/01/03;0600 UTC;0;1001,1;1001,6;1000,8;0;23,9;22,5;24,1;23,7;22,8;22,2;94;92;93;331;5,2;2,8;
2026/01/03;0700 UTC;0;1000,7;1000,9;1000,6;0;23,4;22,2;23,7;23;22,3;22;96;92;94;185;1,9;1;
2026/01/03;0800 UTC;0;1000,6;1000,7;1000,5;0;22,7;21,9;23;22,3;22,1;21,5;96;95;96;298;2;1,1;
2026/01/03;0900 UTC;0;1000,7;1000,9;1000,6;48,2;22,3;21,4;22,6;22,1;21,7;21,1;97;94;96;252;1,2;,7;
2026/01/03;1000 UTC;0;1001,1;1001,3;1000,9;317,7;24,2;20,8;28,2;22,5;21,8;19;96;57;83;274;8,3;3,7;
2026/01/03;1100 UTC;0;1001,3;1001,5;1001,1;1396;29,1;20,2;30;28,2;21;19,6;58;51;55;246;7,2;3;
2026/01/03;1200 UTC;0;1001,2;1001,4;1001;2299;30,6;20,6;31,2;30;21,1;20,2;54;47;50;242;7,4;3,3;
2026/01/03;1300 UTC;0;1001,6;1002;1001,3;2731,9;32;21,4;32,9;31,2;22,3;20,6;51;43;47;212;7,2;3,1;
2026/01/03;1400 UTC;,2;1002,9;1003,9;1002;1038;28,4;20,6;31,4;24,6;21,8;19,9;79;47;61;190;8,3;3,3;
2026/01/03;1500 UTC;,2;1004;1004,3;1003,8;2540,1;27,5;18,8;28,6;25,2;20,8;16,9;75;46;56;187;12,1;5;
2026/01/03;1600 UTC;0;1004,4;1004,9;1004,2;2967;28,2;18;28,9;27,5;18,7;17,4;52;47;49;191;11,4;5,1;
2026/01/03;1700 UTC;0;1005,6;1006,5;1004,7;3107,9;25,7;19;28,8;23,4;20,3;17,3;71;50;66;174;16,6;10,1;
2026/01/03;1800 UTC;0;1006,9;1007,5;1006,3;858;22,9;16,7;24;22,3;18;15,8;72;67;69;178;16;8,5;
2026/01/03;1900 UTC;0;1008,1;1008,6;1007,5;296,9;21,8;15,2;22,3;21,5;15,8;14,7;69;66;67;183;15,3;7,4;
2026/01/03;2000 UTC;0;1008,9;1009,2;1008,4;217,7;21,2;13,8;21,5;21;14,7;13,2;66;61;63;179;13,3;7,2;
